,Area,Location,No. of Bedrooms,New/Resale,Gymnasium,Lift Available,Car Parking,Maintenance Staff,24x7 Security,Children Play Area,Clubhouse,Intercom,Landscaped Gardens,Indoor Games,Gas Connection,Jogging Track,Swimming Pool,Price,#VALUE!
4391,740,Boisar,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,2331000,3150
4509,740,Boisar,2,0,1,1,1,0,1,1,1,1,1,0,0,1,1,2300000,3108.108108
4511,840,Boisar,2,0,1,1,1,0,1,1,1,1,1,0,0,1,1,2600000,3095.238095
4262,1380,Boisar,3,0,1,0,0,0,0,1,1,0,1,1,0,1,1,4200000,3043.478261
4508,1200,Boisar,3,0,1,1,0,0,0,1,1,0,1,1,0,1,1,3600000,3000
6345,1380,Boisar,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4100000,2971.014493
4393,1200,Boisar,3,0,1,1,0,0,0,1,1,1,1,0,0,1,1,3500000,2916.666667
5455,1200,Boisar,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3500000,2916.666667
4392,1380,Boisar,3,0,1,1,0,0,0,1,1,1,1,0,0,1,1,4000000,2898.550725
4265,1160,Boisar,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3350000,2887.931034
4398,820,Boisar,2,0,0,0,0,0,0,1,1,0,1,0,0,1,0,2350000,2865.853659
4399,820,Boisar,2,0,1,1,0,0,0,1,1,0,1,0,0,1,1,2350000,2865.853659
4478,820,Boisar,2,0,1,1,0,0,0,1,1,0,1,0,0,1,1,2300000,2804.878049
4496,820,Boisar,2,0,0,1,0,0,0,1,1,0,1,0,0,1,1,2300000,2804.878049
4510,930,Boisar,2,0,1,0,0,0,0,1,1,0,0,0,0,0,1,2600000,2795.698925
4665,935,Boisar,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2600000,2780.748663
4516,731,Boisar,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000000,2735.978112
4400,780,Boisar,2,0,1,0,0,0,0,1,1,0,1,0,0,1,1,2100000,2692.307692
4266,930,Boisar,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500000,2688.172043
4397,930,Boisar,2,0,1,1,0,0,0,1,1,0,1,0,0,1,1,2500000,2688.172043
6194,820,Boisar,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2200000,2682.926829
4270,820,Boisar,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2150000,2621.95122
4394,1160,Boisar,3,0,1,1,0,0,0,1,1,1,1,0,0,1,1,3000000,2586.206897
4264,930,Boisar,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400000,2580.645161
4495,930,Boisar,2,0,1,1,0,0,0,1,1,0,1,0,0,1,0,2400000,2580.645161
2417,780,Boisar,2,0,1,1,0,0,1,1,1,0,1,0,0,0,1,2000000,2564.102564
4269,1160,Boisar,3,0,1,0,0,0,0,1,1,0,1,1,0,1,1,2900000,2500
4512,1160,Boisar,3,0,0,0,0,0,0,1,1,0,0,0,0,0,1,2900000,2500
6193,820,Boisar,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000000,2439.02439
2876,1043,Borivali,3,1,1,1,0,0,1,1,1,1,0,1,0,1,1,31300000,30009.58773
5259,900,Borivali,2,0,0,1,0,0,0,1,0,1,0,0,1,0,0,26100000,29000
6184,890,Borivali,3,0,1,1,0,0,0,0,0,1,0,0,1,0,0,25800000,28988.76404
2650,580,Borivali,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,16000000,27586.2069
5258,1000,Borivali,3,0,1,1,0,0,0,1,1,1,0,0,1,0,0,27500000,27500
3300,1400,Borivali,3,0,1,1,1,0,1,1,0,1,1,0,0,1,1,38000000,27142.85714
3380,650,Borivali,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17500000,26923.07692
